ticket_id,team,priority,opened,status,resolution_hours
SUP-3101,Billing,P2,2026-01-03,resolved,6.5
SUP-3102,Search,P3,2026-01-04,resolved,21.0
SUP-3103,Platform,P1,2026-01-05,resolved,3.5
SUP-3104,Billing,P3,2026-01-06,resolved,30.0
SUP-3105,Mobile,P2,2026-01-08,resolved,18.0
SUP-3106,Billing,P1,2026-01-09,duplicate,
SUP-3107,Search,P2,2026-01-10,resolved,9.5
SUP-3108,Platform,P2,2026-01-12,open,
SUP-3109,Mobile,P3,2026-01-13,resolved,44.0
SUP-3110,Billing,P2,2026-01-14,resolved,12.0
SUP-3111,Search,P1,2026-01-15,resolved,2.0
SUP-3112,Platform,P3,2026-01-16,resolved,27.5
SUP-3113,Mobile,P1,2026-01-19,open,
SUP-3114,Billing,P2,2026-01-20,open,
SUP-3115,Search,P2,2026-01-21,resolved,14.0
SUP-3116,Platform,P2,2026-01-23,resolved,8.0
SUP-3117,Billing,P3,2026-01-26,resolved,36.0
SUP-3118,Mobile,P2,2026-01-27,resolved,26.0
SUP-3119,Search,P3,2026-01-28,duplicate,
SUP-3120,Platform,P1,2026-01-30,resolved,4.5
SUP-3121,Billing,P1,2026-02-02,resolved,5.0
SUP-3122,Search,P2,2026-02-03,resolved,11.5
SUP-3123,Mobile,P3,2026-02-05,duplicate,
SUP-3124,Platform,P2,2026-02-06,open,
SUP-3125,Billing,P2,2026-02-09,resolved,16.5
SUP-3126,Search,P1,2026-02-10,resolved,1.5
SUP-3127,Mobile,P2,2026-02-11,open,
SUP-3128,Platform,P3,2026-02-13,resolved,33.0
SUP-3129,Billing,P3,2026-02-16,open,
SUP-3130,Search,P2,2026-02-17,resolved,19.0
SUP-3131,Mobile,P1,2026-02-18,resolved,7.0
SUP-3132,Billing,P2,2026-02-20,resolved,10.0
SUP-3133,Search,P3,2026-02-23,resolved,25.5
SUP-3134,Platform,P2,2026-02-24,resolved,13.5
SUP-3135,Mobile,P2,2026-02-25,open,
SUP-3136,Billing,P2,2026-02-27,open,
SUP-3137,Search,P2,2026-03-02,open,
SUP-3138,Mobile,P3,2026-03-03,resolved,40.0
SUP-3139,Billing,P1,2026-03-05,resolved,2.5
